Number,Question,Answer,
66,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Which test can be used to evaluate subscapularis tendinitis?
A: Speed's test, B: Lift-off test, C: Jobe's test, D: Yergason's test, E: Impingement test",B,
67,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
The patient abducts the upper limb to 90бу, flexes forward 30бу (in the scapular plane), and internally rotates so the thumb points down to the ground. What examination method is this?
A: Speed's test, B: Lift-off test, C: Jobe's test, D: Yergason's test, E: Impingement test",C,
68,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A positive Neer sign indicates:
A: Shoulder forward flexion causes pain induced by impingement between the greater tuberosity and the anterior edge of the acromion, B: Internal rotation after flexing the arm to 90бу causes pain, C: Pain occurs during resisted flexion of the upper limb with the elbow extended, D: Painful arc between 60бу~120бу of abduction, E: Pain occurs when the upper limb is abducted 90бу, flexed forward 30бу, and internally rotated with the thumb down",A,
69,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Which of the following is NOT a good prognostic factor for shoulder impingement syndrome?
A: Young age, B: Lower body mass index (BMI), C: Better functional status, D: Long duration of symptoms, E: Reversible changes on MRI",D,
70,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
What is the preferred treatment method for anterior shoulder dislocation? 
A: Suspension traction, B: Open reduction and internal fixation, C: Skeletal traction, D: Manual reduction and external fixation, E: Skin traction",D,
71,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
The most common type of shoulder dislocation is: 
A: Anterior dislocation, B: Posterior dislocation, C: Inferior dislocation, D: Supraarticular dislocation, E: Central dislocation",A,
72,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
The joint with the highest rate of dislocation is:
A: Shoulder joint, B: Elbow joint, C: Hip joint, D: Knee joint, E: Sacroiliac joint",A,
73,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
The common treatment method for fresh anterior shoulder dislocation is:
A: Closed reduction under local anesthesia, no fixation needed, start shoulder exercises immediately, B: Closed reduction under local anesthesia, suspension with a triangular sling for 3 weeks, move the affected hand and wrist during fixation, C: Closed reduction under brachial plexus block, external plaster fixation for 3 weeks, move hand and wrist during fixation, D: Open reduction under general anesthesia, repair joint capsule, start shoulder exercises immediately after surgery, E: Open reduction under brachial plexus block, repair joint capsule, external fixation with triangular sling for 3 weeks, move hand and wrist",B,
74,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
The common reduction method for anterior shoulder dislocation is:
A: Hippocratic method, B: Skeletal traction reduction, C: Open reduction, D: Allis method, E: No traction needed, rotation method only",A,
75,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Which of the following is NOT a diagnostic basis for Achilles tendon rupture?
A: Standing on the affected foot alone, heel cannot leave the ground, B: Affected foot cannot actively plantarflex, C: A depression is palpable at the Achilles tendon, D: Dorsiflexion range of the affected foot exceeds that of the healthy side, E: Sudden pain in the heel during jumping or running",B,
76,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Which of the following is a clinical manifestation of acute Achilles tendon rupture?
A: Feeling of being hit by a stick at the back of the ankle, B: Difficulty walking, C: Swelling and bruising, D: Hearing or feeling a ""pop"" sound at the time of rupture, E: All of the above",E,
77,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
The examination that helps diagnose Achilles tendon rupture is:
A: Anterior drawer test, B: Varus/Valgus stress test, C: Talar tilt test, D: Thompson test, E: Silfverskiold test",D,
78,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Regarding the principles of conservative treatment for acute Achilles tendon rupture, which statement is incorrect?
A: Immediate treatment plan for injuries: Fix the ankle in extreme plantarflexion with a cast, restrict dorsiflexion, avoid weight bearing, B: Assessment after 2 weeks: Change to a removable cast or boot, fix ankle in 20бу plantarflexion, C: Assessment after 4 weeks: Assess continuity recovery; if tendon ends are not approximated, surgery is recommended, D: Assessment after 8 weeks: Assess continuity, start physical therapy, take off boot, non-weight bearing muscle exercises, E: Assessment after 10 weeks: Stop wearing the boot, continue physical therapy, walk with weight bearing in shoes with heels",D,
79,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Which of the following conservative treatment methods is Not recommended for patients with Achilles tendon rupture?
A: Low-level laser therapy, B: Shockwave therapy, C: Corticosteroid injection therapy, D: Platelet-rich plasma (PRP) therapy, E: Nitroglycerin patch",C,
80,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Regarding the treatment methods for ankle fractures, which option is incorrect?
A: Rigid internal fixation, B: The ankle mortise should not be too large or too small, C: Anatomical alignment of the fracture, D: Repeated reduction attempts to achieve closed reduction and avoid surgery, E: Early functional exercise",D,
81,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Regarding ankle fractures, which statement is incorrect?
A: Non-displaced fractures can be fixed with a short leg cast, B: Inversion fractures involving more than 1/2 of the articular surface should be treated surgically, C: Surgical fixation must be rigid to facilitate early functional exercise, D: Even if fracture fixation is secure, syndesmosis separation still requires trans-syndesmotic screw fixation, E: Open fractures should be treated with internal fixation as much as possible after thorough debridement",D,
82,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Regarding the Myerson modification of the Lisfranc joint classification, which type is correct?
A: Type A: Includes displacement of all 5 metatarsals, with or without fracture of the 2nd metatarsal base, B: Type B: Only one joint remains intact, C: Type B1: Lateral displacement, sometimes involving intercuneiform or naviculocuneiform joints, D: Type B2: Medial displacement, may involve the first metatarsocuneiform joint, E: Type C: Divergent injury, C1 total divergence, C2 partial divergence",A,
83,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Which of the following is NOT a complication of ankle fracture? :
A: Pseudarthrosis, B: Malunion, C: Traumatic arthritis, D: Sudeck's atrophy, E: Hematoma formation",E,
84,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Regarding the acute phase management of ankle fractures, which statement is incorrect?
A: Local cold compress to reduce swelling, B: Elevation of the affected limb, C: Move the ankle joint to prevent stiffness, D: Oral painkillers for severe pain, E: Local compression bandaging",C,
85,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
The weakest and most easily injured lateral ligament of the ankle is:
A: Anterior talofibular ligament (ATFL), B: Calcaneofibular ligament (CFL), C: Posterior talofibular ligament (PTFL), D: Bifurcate ligament, E: Talocalcaneal ligament",A,
86,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
The test used to check for rupture of the anterior talofibular ligament is:
A: Varus stress test, B: Valgus stress test, C: Anterior drawer test, D: Posterior drawer test, E: Tilt test",C,
87,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Which of the following is NOT a risk factor for lateral ankle ligament injury?
A: History of previous sprains, B: Excessive height and weight, C: Flatfoot, D: Congenital joint laxity, E: Foot size being too small",E,
88,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
The patient is seated. The examiner holds the patient's lower leg with one hand and the heel with the other, applying an inversion force to tilt the talus. What test is this?
A: Varus stress test, B: Valgus stress test, C: Anterior drawer test, D: Posterior drawer test, E: Talar tilt test",E,
89,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Regarding ankle ligament injuries, which option is incorrect?
A: Patients with acute injury will present with swelling, hematoma, and difficulty bearing weight, B: Patients with chronic injury usually have a history of recurrent ankle instability, C: Anterolateral drawer test can be used to diagnose deltoid ligament injury, D: External rotation stress radiograph of ankle points contributes to the instability of distal tibiofibular syndesmosis, E: Most minor ligament injuries can achieve good results through functional bracing and early rehabilitation",C,
90,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Which of the following is NOT a treatment measure for lateral epicondylitis?
A: External fixation of the wrist and elbow with a plaster splint, B: Release by injection of prednisolone acetate at the tender point, C: Strengthening resisted exercises for wrist extensors, D: Release of the common extensor origin, E: Neurovascular bundle resection and ligation at the common extensor origin",C,
91,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
The fundamental measure to prevent the recurrence of tennis elbow is:
A: Local block at the tender point of lateral epicondyle, B: Restricting fist clenching and wrist extension movements, C: Stripping and release of the common extensor tendon origin, D: Immobilization of the affected limb, E: Oral NSAIDs",B,
92,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
The method to control symptoms of tennis elbow relatively quickly is:
A: Local block at the tender point of lateral epicondyle, B: Restricting fist clenching and wrist extension movements, C: Stripping and release of the common extensor tendon origin, D: Immobilization of the affected limb, E: Oral NSAIDs",A,
93,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
The method for treating refractory tennis elbow is:
A: Local block at the tender point of lateral epicondyle, B: Restricting fist clenching and wrist extension movements, C: Stripping and release of the common extensor tendon origin, D: Immobilization of the affected limb, E: Oral NSAIDs",C,
94,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Which sign is consistent with lateral epicondylitis?
A: Positive Mills' test, B: Limited elbow movement, C: Limited shoulder abduction, D: Shoulder pain with no limitation of movement, E: Positive Finkelstein's test",A,
95,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
When treating supracondylar humerus fractures, the deformity that should be most prevented is:
A: Cubitus valgus, B: Cubitus varus, C: Anterior angulation, D: Rotational deformity, E: Posterior angulation",B,
96,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Regarding sequelae of elbow joint injury, which option is incorrect?
A: The incidence of cubitus varus is 9%-57%; surgical correction is indicated when varus exceeds 20бу, B: The incidence of myositis ossificans in the elbow is higher in children than in adults, C: Elbow injury can lead to ulnar neuritis, D: Surgical treatment should be considered for cubitus valgus exceeding 35бу, E: Traumatic myositis ossificans and progressive myositis ossificans are not the same disease; their sites of onset and manifestations differ",B,
97,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
The most common cause of elbow varus is: 
A: Congenital Cubitus varus, B: Malreduction of medial condyle fracture, C: Supracondylar fracture of humerus, D: Chronic elbow dislocation, E: Total separation of distal humeral epiphysis",C,
98,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Regarding the treatment of cubitus varus, which statement is incorrect?
A: Elbow functional training, B: Rehabilitation massage, C: Plaster fixation for correction, D: Osteotomy, E: Bone grafting",E,
99,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Regarding the carrying angle, which statement is incorrect?
A: Carrying angle: The supplementary angle of the angle between the humeral axis and the ulna at the elbow plane, B: Normal range for males: 5бу-10бу, C: Normal range for females: 10бу-15бу, D: Decrease in carrying angle is cubitus varus, E: Decrease in carrying angle is cubitus valgus",E,
100,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
The specific sign of elbow dislocation is:
A: Swelling and pain in the affected elbow, inability to move, B: Supporting the affected forearm with the healthy hand, C: Normal relationship of the elbow triangle (Huter's triangle), D: Abnormal relationship of the elbow triangle, E: Elbow joint in semi-extended position",D,
101,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Regarding the description of elbow dislocation, which is incorrect?
A: The elbow triangle relationship is changed after dislocation, B: Posterior elbow dislocation is mostly caused by indirect violence, C: Can be accompanied by lateral dislocation, D: Divergent dislocation of the elbow is rare, E: Divergent dislocation does not involve the annular ligament",E,
102,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
An abnormal relationship of the posterior elbow triangle is a characteristic sign of which condition?
A: Radial head subluxation, B: Elbow dislocation, C: Cubital tunnel syndrome, D: Lateral epicondylitis, E: Cubitus varus",B,
103,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Which complication of posterior elbow dislocation is incorrect?
A: Median nerve injury, B: Joint ankylosis, C: Ulnar nerve injury, D: Myositis ossificans, E: Volkmann's ischemic contracture",B,
104,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
The key clinical differential point between elbow dislocation and fracture is:
A: Abnormal movement, B: Elbow deformity, C: History of trauma, falling on outstretched hand, D: Local swelling, functional impairment, E: Change in the relationship of the elbow triangle",E,
105,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
The management after reduction of radial head subluxation in children is:
A: Closed reduction, no fixation required, B: Closed reduction, small splint fixation, C: Closed reduction, external plaster fixation, D: Closed reduction, abduction brace fixation, E: Open reduction",A,
106,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Radial head subluxation is mostly seen in:
A: Children under 5 years old, B: Children aged 12-14, C: Adult males aged 20-40, D: Adult females aged 20-40, E: Elderly people",A,
107,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Which of the following is NOT a pathogenic factor for radial head subluxation?
A: Underdeveloped radial head, B: Weak annular ligament, C: Radial head slides distally after traction on the forearm of the affected limb, D: Annular ligament entrapment within the humeroradial joint, E: Forearm rotational external force",E,
108,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
The common age of occurrence and common treatment method for radial head subluxation are:
A: Children 5-10 years old, manual reduction, triangular sling suspension, B: Children 6-8 years old, manual reduction, C: 10-year-old children, open reduction and internal fixation, D: Toddlers under 5 years old, manual reduction, no fixation required, E: Adults, open reduction and internal fixation",D,
109,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
The reduction method for radial head subluxation is:
A: Hippocratic method, B: Skeletal traction reduction, C: Open reduction, D: Allis method, E: No traction needed, only rotation method",E,
110,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Regarding the characteristics of cubital tunnel syndrome, which option is incorrect?
A: Cubital tunnel syndrome is chronic injury to the ulnar nerve, B: The most common cause is cubitus valgus, C: Numbness on the ulnar side of the back of the hand, hypothenar eminence, little finger, and ulnar side of the ring finger is often the first symptom, D: The treatment method is surgery, E: Atrophied small hand muscles can recover quickly after surgery, while hand sensation recovers slowly",E,
111,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Which of the following is NOT a clinical manifestation of cubital tunnel syndrome?
A: Pain in the elbow region, B: Numbness in the ring and little fingers, C: Varying degrees of atrophy of intrinsic hand muscles, D: Claw hand, E: Sensory impairment of the skin on the radial half of the palm",E,
112,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Regarding the description of the cubital tunnel, which statement is incorrect?
A: The cubital tunnel is located posterior to the joint and is a fibro-osseous tunnel, B: The anterior wall is the ulnar collateral ligament, C: The posterior wall is Osborne's ligament, D: The medial wall is the medial epicondyle of the humerus and the humeral head of the flexor carpi ulnaris, E: The lateral wall is formed by the olecranon and the ulnar head of the flexor carpi ulnaris",A,
113,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Regarding cubital tunnel syndrome, which of the following may cause the disease?
A: Old fractures, B: Rheumatoid or rheumatic arthritis of the elbow, C: Recurrent dislocation of the ulnar nerve, D: Long-term work with elbow flexion, E: All of the above can cause it",E,
114,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Regarding cubital tunnel syndrome, which sign is incorrect?
A: Atrophy of intrinsic hand muscles and hypothenar muscles, B: Ape hand, C: Positive Tinel sign, D: Positive Froment sign, E: Weakness in holding paper",B,
115,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Carpal tunnel syndrome is caused by compression of which structure within the carpal tunnel?
A: Ulnar nerve, B: Ulnar artery, C: Radial nerve, D: Radial artery, E: Median nerve",E,
116,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Which is NOT a symptom of carpal tunnel syndrome?
A: Thenar muscle atrophy, B: Reduced hand strength, C: Opposition deficit, D: Claw hand, E: Weakness of the thumb",D,
117,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Which of the following is NOT a clinical manifestation of carpal tunnel syndrome?
A: Sensory impairment of the skin on the radial half of the palm, B: Hand pain at night or in the early morning, relieved after activity, C: Electric shock sensation upon tapping the volar aspect of the wrist, D: Thenar muscle atrophy, E: Positive Phalen test",A,
118,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Which of the following belongs to the clinical manifestations of carpal tunnel syndrome?
A: Numbness in the radial 3.5 fingers (thumb, index, middle, radial half of ring), B: Clumsiness of the affected hand, awkwardness when performing fine motor tasks, C: Weak muscles, D: Severe cyanosis of the thumb and index finger, E: All of the above",E,
119,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Regarding carpal tunnel syndrome, which of the following signs is positive:
A: Finkelstein sign, B: Tinel sign, C: Mills sign, D: Lasegue sign, E: Thomas sign",B,
120,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Regarding stenosing tenosynovitis, which is incorrect?
A: The lesion is not limited to the flexor tendon sheath, B: Local block for tenosynovitis is effective, C: The lesion site is mostly at the metacarpophalangeal joint of the thumb, D: Morning stiffness and pain, improving after activity, E: Local tenderness",D,
121,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Which of the following does NOT belong to the signs of stenosing tenosynovitis?
A: Snapping finger, B: Snapping thumb, C: Trigger finger, D: Mills sign (Tennis elbow), E: Positive Finkelstein test",D,
122,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Regarding stenosing tenosynovitis of the radial styloid, which sign is positive?
A: Finkelstein sign, B: Mills sign, C: Lasegue sign, D: Thomas sign, E: Dugas sign",A,
123,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
The most common site for stenosing tenosynovitis is:
A: Hand and wrist, B: Elbow, C: Shoulder, D: Ankle, E: Toes",A,
124,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
For stenosing tenosynovitis, the method with better therapeutic efficacy is:
A: Physiotherapy, B: Restriction of activity and plaster immobilization, C: Oral non-steroidal anti-inflammatory drugs (NSAIDs), D: Topical medication application, E: Local injection of prednisone acetate",E,
125,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
In which of the following situations is the TFCC (Triangular Fibrocartilage Complex) NOT easily injured?
A: Athletes in tennis, golf, badminton, etc., rapidly twisting their wrists, B: A driver in a car accident suffering violent rotational traction to the wrist while holding the steering wheel, C: Falling and landing on the elbow, D: Bracing with the hand during a sudden fall, E: Sprain caused by carelessly lifting heavy objects or improper exertion of the wris",C,
126,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Regarding the management of TFCC injury in the acute phase, which of the following treatments is incorrect?
A: Elevation of the affected limb, B: Icing the affected area, C: Compression bandaging, D: Immediate surgical treatment, E: Rest",D,
127,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Which of the following is NOT a clinical manifestation of TFCC injury?
A: Ulnar-sided wrist pain, B: Limitation of wrist movement, C: Difficulty in wrist rotation, D: Decreased wrist strength, E: Protruding lump on the wrist",E,
128,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Which of the following structures does NOT participate in the formation of the TFCC?
A: Radial collateral ligament, B: Radioulnar ligament, C: Ulnolunate ligament, D: Ulnotriquetral ligament, E: Triangular fibrocartilage disc",A,
129,"Please answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
Which of the following examinations cannot be used to diagnose TFCC injury?
A: Sharpey's Test, B: Piano Key Test, C: UTD Glide Test, D: TFCC Load Test, E: Thompson Test",E,
