Number,Question,Answer
51,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 40-year-old female complains of shoulder pain, especially aggravated when lifting the arm. Physical examination reveals a partial rotator cuff tear. Which of the following is NOT a typical clinical manifestation of rotator cuff injury:
A: Shoulder pain, B: Shoulder swelling, C: Weakness in shoulder abduction, D: Reduced range of shoulder motion, E: Weakness in lifting the upper limb",B
52,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 50-year-old female recently developed right shoulder pain, especially obvious during abduction and rotation of the shoulder, aggravated at night. The patient has a history of recurrent right shoulder trauma. Examination shows weakness in right shoulder abduction, a limp-like motion when lifting the shoulder, and a positive Neer impingement test. Which of the following statements is correct:
A: Rotator cuff injury mainly involves tearing of the shoulder joint capsule and ligaments, B: The main cause of rotator cuff injury is inflammation of the subacromial bursa, C: MRI is the preferred imaging method for diagnosing rotator cuff injury, D: Rotator cuff injury mainly occurs in young people, especially athletes, E: Treatment for rotator cuff injury should immediately involve open surgical repair",C
53,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 35-year-old male engaged in heavy physical labor complains of pain during shoulder abduction, especially aggravated when lifting the arm, with significant night pain affecting sleep. Examination reveals limited shoulder movement, significant tenderness in the subacromial area, and a positive painful arc test. Regarding shoulder impingement syndrome, which of the following descriptions is correct:
A: Shoulder impingement syndrome mainly affects the joint capsule tissue, B: This disease is common in young males, mainly caused by infection, C: Pain typically worsens during shoulder elevation and internal rotation, D: X-ray is the only imaging tool for diagnosing shoulder impingement syndrome, E: Surgery is the first-choice treatment for shoulder impingement syndrome",C
54,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 35-year-old male office worker presents with recurrent right shoulder pain located on the lateral aspect, aggravated especially during arm lifting, with dull pain at night. He recently started gym workouts, focusing on weightlifting. Physical examination reveals subacromial tenderness and aggravated pain during 90-degree shoulder abduction and internal rotation. The most likely diagnosis for this patient is:
A: Rotator cuff tear, B: Frozen shoulder, C: Subacromial impingement syndrome, D: Cervical spondylosis, E: Thoracic outlet syndrome",C
55,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 45-year-old male tennis coach presents with right shoulder pain located laterally, especially aggravated when lifting the arm to 90 degrees or higher. The doctor suspects shoulder impingement syndrome; Neer and Hawkins tests are positive. Besides physical examination, which of the following is most helpful for further confirming the diagnosis:
A: Ultrasound, B: MRI, C: X-ray, D: Electromyography (EMG), E: Electrocardiogram (ECG)",B
56,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 65-year-old female developed right shoulder pain after gardening and reported limited shoulder mobility when dressing or combing hair. The doctor suspects shoulder impingement syndrome. What is the preferred non-surgical treatment plan for this disease:
A: Physical therapy and non-steroidal anti-inflammatory drugs (NSAIDs), B: Steroid injection and rest, C: Acupuncture, D: Heat compress and rest, E: Arthroscopic surgery",A
57,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 40-year-old male complains of shoulder pain, especially aggravated when lifting the arm. Physical examination reveals subacromial tenderness, and X-ray shows subacromial bone spur formation. The most likely diagnosis for this patient is:
A: Shoulder impingement syndrome, B: Shoulder dislocation, C: Adhesive capsulitis, D: Shoulder arthritis, E: Rotator cuff injury",A
58,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 4-year-old male child fell and complained of shoulder pain. Examination revealed the affected shoulder was drooping, movement of the affected limb was impaired, the head was tilted toward the affected side, and the Dugas sign was negative. The most likely diagnosis is:
A: Brachial plexus injury, B: Radial head subluxation, C: Clavicle fracture, D: Surgical neck fracture of the humerus, E: Shoulder dislocation",C
59,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 16-year-old male fell on an outstretched hand, with the shoulder in abduction and external rotation. He presents with shoulder pain, swelling, and limited movement. Physical examination shows a positive Dugas sign. The deformity of the patient's shoulder is:
A: Squared shoulder, B: Shoulder hyperextension/flexion, C: Excessive shoulder protrusion, D: Flexion, abduction, external rotation, E: Adduction, internal rotation",A
60,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 35-year-old male athlete developed severe pain after a shoulder injury. Physical examination reveals a positive Dugas sign. The most likely diagnosis is:
A: Shoulder impingement syndrome, B: Shoulder dislocation, C: Adhesive capsulitis, D: Shoulder arthritis, E: Rotator cuff injury",B
61,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 25-year-old male basketball player developed severe pain after a shoulder injury. Physical examination reveals a positive Dugas sign. Which of the following is NOT a clinical manifestation of shoulder dislocation:
A: Squared shoulder deformity, B: Shoulder pain, C: Shoulder locking, D: Elastic fixation of the shoulder, E: Positive Hamilton's ruler test (touching the opposite shoulder test)",C
62,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 35-year-old male developed severe pain after a shoulder injury. Physical examination reveals a positive Dugas sign. Which of the following is NOT a treatment principle for shoulder dislocation:
A: Immediate reduction, B: Cold compress on the shoulder, C: Shoulder brace fixation, D: Immediate high-intensity rehabilitation training, E: Consider surgery if reduction fails",D
63,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 40-year-old female dancer suddenly felt a sensation like being hit by a rod on the left heel when landing from a jump. The most likely diagnosis is:
A: Anterior talofibular ligament rupture, B: Achilles tendon rupture, C: Ankle fracture, D: Ankle synovitis, E: Ankle dislocation",B
64,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 45-year-old female complains of ankle pain, especially aggravated when walking. Physical examination reveals localized tenderness of the Achilles tendon and a positive Thompson test. The most likely diagnosis for this patient is:
A: Achilles tendon rupture, B: Ankle fracture, C: Ankle synovitis, D: Ankle dislocation, E: Ankle ligament rupture",A
65,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 30-year-old female had severe pain after her left heel was hit by a bicycle. She cannot actively plantarflex the left foot and cannot stand on tiptoe on one leg. The most likely diagnosis for this patient is:
A: Posterior talofibular ligament rupture, B: Achilles tendon rupture, C: Ankle fracture, D: Ankle synovitis, E: Ankle dislocation",B
66,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 45-year-old male suddenly felt pain like being hit in the back of the calf while playing badminton, followed by an inability to walk normally and limited foot movement. Examination revealed no obvious swelling of the right ankle, but a distinct depression in the lower right calf upon palpation. Which of the following is most likely consistent with the patient's condition:
A: Achilles tendon rupture is common in elderly patients and often occurs spontaneously, B: The typical manifestation of Achilles tendon rupture is painless limitation of ankle movement, C: Treatment for Achilles tendon rupture consists mainly of rest, without surgery, D: Patients with Achilles tendon rupture often feel severe pain at onset and require early intervention, E: Achilles tendon rupture mostly occurs in the adolescent population",D
67,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 26-year-old female experienced sudden severe heel pain while running, and a depression was palpable in the Achilles tendon area. The examination that can help diagnose this patient is:
A: Anterior drawer test, B: Varus/Valgus stress test, C: Talar tilt test, D: Thompson test, E: Silfverskiold test",D
68,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 40-year-old male complains of left ankle pain for 3 days. X-ray shows an ankle fracture line. Which of the following is NOT a treatment principle for ankle fracture:
A: Anatomical reduction of the fracture, B: Early functional exercise, C: Long-term bed rest, D: Maintaining stability after reduction, E: Considering surgical treatment if reduction fails",C
69,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 38-year-old female has had right ankle pain for 2 days. X-ray shows an ankle fracture line. Which of the following is a clinical manifestation of ankle fracture:
A: Ankle instability, B: Ankle swelling, C: Ankle clicking, D: Ankle stiffness, E: Sensation of being hit in the ankle",B
70,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A male patient has had right ankle pain for 6 hours due to a fall, and an ankle fracture is considered. Which of the following examinations is the first choice for diagnosing ankle fracture:
A: MRI, B: X-ray, C: CT scan, D: Ultrasound, E: Radionuclide scan",B
71,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 32-year-old male twisted his ankle while playing football. After the injury, he had severe pain, could not stand, the ankle was significantly swollen, and the foot was deformed. X-ray showed a clear fracture line between the talus and fibula. Regarding ankle fracture, which of the following descriptions is correct:
A: Ankle fractures usually do not require surgery and can recover with conservative treatment, B: Ankle fractures are often accompanied by soft tissue injury, and post-operative rehabilitation training is important, C: Ankle fractures are mostly spontaneous fractures caused by osteoporosis in elderly patients, D: Treatment of ankle fractures generally does not require plaster fixation, E: The recovery period for ankle fracture is only 1-2 weeks",B
72,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 48-year-old male suffered a left ankle fracture due to trauma. Regarding the treatment methods for ankle fracture, which of the following options is incorrect:
A: Rigid internal fixation, B: The ankle mortise should not be too large or too small, C: Anatomical alignment of the fracture, D: Early functional exercise, E: Repeated reduction attempts, striving for closed reduction to avoid surgery",E
73,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 35-year-old male basketball player sprained his ankle during a game, feeling sudden severe pain followed by significant swelling. Physical examination reveals limited ankle movement. The most likely diagnosis is:
A: Anterior talofibular ligament rupture, B: Achilles tendon rupture, C: Ankle fracture, D: Ankle synovitis, E: Ankle dislocation",A
74,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 30-year-old female complains of twisting her left ankle when stepping on emptiness while going down stairs. There is lateral left ankle pain, aggravated by running. Physical examination reveals tenderness at the lateral malleolus. The most likely diagnosis is:
A: Anterior talofibular ligament rupture, B: Achilles tendon rupture, C: Ankle fracture, D: Ankle synovitis, E: Ankle dislocation",A
75,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 25-year-old male football player was injured during a match. Physical examination revealed a positive ankle Anterior Drawer Test. The most likely diagnosis is:
A: Anterior talofibular ligament rupture, B: Talofibular ligament rupture, C: Posterior talofibular ligament rupture, D: Calcaneofibular ligament rupture, E: Ankle dislocation",A
76,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 30-year-old male basketball player was injured during a match. Physical examination revealed a positive ankle Anterior Drawer Test. Which of the following is a treatment principle for the acute phase of ankle ligament rupture:
A: Early cold compress, B: Brace fixation, C: High-intensity rehabilitation training, D: Long-term use of NSAIDs, E: Massage therapy",A
77,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 25-year-old female twisted her ankle during a basketball game, developing severe pain and swelling. Her ankle felt weak when attempting to stand, making walking difficult. MRI suggested a complete rupture of the lateral ankle ligaments. Regarding ankle ligament rupture, which of the following is correct:
A: Ligament rupture requires no special treatment; normal function returns after swelling subsides, B: Patients with ligament rupture usually do not need rehabilitation, C: Early activity should be avoided after ligament rupture to prevent aggravating the injury, D: The typical symptom of ligament rupture is local heat without significant swelling, E: Diagnosis of ligament rupture does not require imaging examination",C
78,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 27-year-old male who enjoys tennis has had right lateral elbow pain for 2 months, aggravated for 5 days, with weakness in holding objects. Physical exam: Apart from localized tenderness at the lateral right elbow, which of the following tests is most helpful for diagnosis:
A: Froment test, B: Finkelstein test, C: Mills test, D: Gaenslen test, E: Dugas test",C
79,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 50-year-old female has had right lateral elbow pain for 2 months, aggravated by forceful gripping or wringing a towel. There is localized tenderness at the lateral right elbow and a positive Mills sign. Her diagnosis is:
A: Chondromalacia patellae, B: Cervical spondylosis, C: Lateral epicondylitis of the humerus, D: Scapulohumeral periarthritis, E: Stenosing tenosynovitis of the radial styloid",C
80,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 40-year-old male complains of lateral elbow pain, especially aggravated when forcefully gripping or lifting the wrist. Which of the following is NOT a cause of lateral epicondylitis:
A: Long-term repetitive use of hand, wrist, and elbow, B: Long-term engagement in tennis, C: History of elbow trauma, D: Work involving long-term use of vibrating tools, E: All of the above",C
81,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 40-year-old male complains of lateral elbow pain, especially aggravated when forcefully gripping or lifting the wrist. Which of the following is a prognostic factor for lateral epicondylitis:
A: Timeliness of treatment, B: Patient's age, C: Choice of treatment method, D: Work style, E: All of the above factors",E
82,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 17-year-old male fell and injured his right elbow 2 days ago. The right elbow is swollen with significant tenderness, limited movement, and bone crepitus at the medial epicondyle. Which examination is the first choice for diagnosis:
A: CT, B: X-ray, C: Ultrasound, D: Radionuclide bone scan, E: MRI",B
83,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 50-year-old female complains of elbow pain. X-ray shows bone hyperplasia (osteophytes) in the elbow. Which of the following is a treatment principle for elbow deformity:
A: Early limb functional exercise, B: Avoiding premature weight-bearing and heavy physical activity of the affected limb, C: Long-term immobilization, D: Immediate high-intensity rehabilitation training, E: Immediate surgical treatment",B
84,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 45-year-old male injured his right elbow when falling off a bike. The triangular relationship of the posterior elbow is abnormal. The most likely diagnosis for this patient is:
A: Lateral epicondylitis of the humerus, B: Elbow deformity, C: Elbow dislocation, D: Radial head subluxation, E: Cubital tunnel syndrome",C
85,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 32-year-old male fell during a football match, landing on his right hand, and felt severe pain in the elbow with inability to move it normally. Emergency exam revealed a swollen right elbow with obvious deformity. X-ray showed complete dislocation of the right elbow but no fracture. The most likely treatment for this patient is:
A: Immediate surgery to repair ligaments, B: Manual reduction followed by short-term plaster fixation, C: Direct administration of anti-inflammatories and observation for natural recovery, D: Fixation with a long arm brace without manual reduction, E: Waiting 1-2 weeks before reduction to reduce risk of re-dislocation",B
86,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 25-year-old female fell off a bicycle, causing a right elbow dislocation, which was reduced in the emergency room. After successful reduction, the doctor recommended rehabilitation training during the recovery period. Which of the following is the most important care goal for this patient during recovery:
A: Avoid any form of elbow movement to prevent re-dislocation, B: Immediate high-intensity resistance training to restore strength, C: Control swelling and pain, and gradually increase elbow range of motion, D: Perform only wrist movements and avoid stretching the elbow, E: Fixation with a brace for 6 months, avoiding joint movement",C
87,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 3-year-old male child cried and refused to move his elbow after his arm was pulled by a parent. Physical examination revealed tenderness at the radial head. The most likely diagnosis is:
A: Lateral epicondylitis of the humerus, B: Elbow deformity, C: Elbow dislocation, D: Radial head subluxation, E: Cubital tunnel syndrome",D
88,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 4-year-old female child cried and refused to move her elbow after her arm was pulled by a parent. Physical examination revealed tenderness at the radial head. The treatment method required for this child is:
A: Hippocrates method, B: Skeletal traction reduction, C: Open reduction, D: Allis method, E: No traction required, rotation method only",E
89,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 45-year-old female complains of elbow pain, especially aggravated during elbow flexion. Physical examination reveals subluxation and thickening of the ulnar nerve at the elbow. The most likely diagnosis is:
A: Lateral epicondylitis of the humerus, B: Elbow deformity, C: Elbow dislocation, D: Radial head subluxation, E: Cubital tunnel syndrome",E
90,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 45-year-old female complains of elbow pain, especially aggravated during elbow flexion. Physical examination reveals subluxation and thickening of the ulnar nerve at the elbow. Which of the following is a preventive measure for cubital tunnel syndrome:
A: Avoiding prolonged elbow flexion, B: Avoiding sleeping with the elbow under the head/pillow, C: Moving the elbow frequently, D: Trying to avoid long-term repetitive use of hand, wrist, and elbow, E: All of the above measures",E
91,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 51-year-old female has had left elbow pain for 10 years and works in parts assembly for a long time. Diagnosis of ""Cubital Tunnel Syndrome"" is considered. Which of the following signs is NOT consistent with the clinical manifestations of cubital tunnel syndrome:
A: Atrophy of intrinsic hand muscles and hypothenar muscles, B: Ape hand, C: Positive Tinel sign, D: Positive Froment sign, E: Weakness in pinching paper",B
92,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 45-year-old female complains of wrist pain, especially aggravated at night. Physical examination reveals reduced grip strength. The most likely diagnosis is:
A: Carpal tunnel syndrome, B: Stenosing tenosynovitis, C: Cubital tunnel syndrome, D: Wrist arthritis, E: Triangular Fibrocartilage Complex (TFCC) injury",A
93,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 40-year-old male complains of wrist pain, especially aggravated when using a computer mouse. Which of the following is NOT a cause of carpal tunnel syndrome:
A: Long-term repetitive wrist activity, B: Long-term high-load weightlifting training, C: Endocrine system diseases, D: History of wrist trauma, E: None of the above",D
94,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 28-year-old female has had left wrist pain for 6 months. Physical examination reveals reduced grip strength. Which of the following is a preventive measure for carpal tunnel syndrome:
A: Avoiding prolonged excessive wrist flexion, B: Regularly performing wrist stretching exercises, C: Long-term use of a wrist support pad, D: Avoiding maintaining the same wrist posture for a long time, E: All of the above measures",E
95,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 53-year-old female who does housework for long periods has had right wrist pain for 3 years, unrelieved by oral painkillers. ""Carpal Tunnel Syndrome"" is considered. Which of the following signs is likely to be positive in this patient:
A: Finkelstein sign, B: Tinel sign, C: Mills sign, D: Lasegue sign, E: Thomas sign",B
96,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 48-year-old female has suffered from stenosing tenosynovitis of the left thumb for 2 weeks. The simplest and most effective treatment method at this time is:
A: Immobilization, B: Tenosynovial incision (release surgery), C: Local block with prednisolone acetate, D: Physical therapy, E: Local injection of antibiotics",C
97,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 42-year-old female has had snapping of the right thumb with significant pain in the interphalangeal joint for half a year, and inability to actively straighten the right thumb for half a day. Examination: A hard nodule the size of a soybean is palpable on the palmar aspect of the first metacarpophalangeal joint, with significant tenderness. A snap is palpable at the nodule upon passive flexion and extension of the right thumb. The diagnosis is:
A: Flexor pollicis longus tenosynovitis (Trigger thumb), B: Ganglion cyst, C: Rheumatic nodule, D: Tumor, E: Osteoarthropathy",A
98,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 31-year-old female has had left wrist pain for 1 month. There is localized tenderness on the radial side of the left wrist and a positive Finkelstein test. The diagnosis is:
A: Chondromalacia patellae, B: Cervical spondylosis, C: Lateral epicondylitis of the humerus, D: Frozen shoulder, E: Stenosing tenosynovitis of the radial styloid",E
99,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 35-year-old male who uses vibrating tools for work complains of wrist pain. Diagnosis of ""Stenosing Tenosynovitis"" is considered. Which of the following is NOT a clinical manifestation of stenosing tenosynovitis:
A: Volar wrist pain, B: Aggravated pain during finger flexion and extension, C: Reduced grip strength, D: Dorsal wrist swelling, E: Tenderness on the radial side of the wrist",D
100,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 30-year-old male who uses a mouse and keyboard for work has had right wrist pain for 2 months. Diagnosis of ""Stenosing Tenosynovitis"" is considered. A method with good efficacy for this patient is:
A: Physical therapy, B: Activity restriction and plaster fixation, C: Oral non-steroidal anti-inflammatory drugs, D: Topical medication patches, E: Local block with prednisone acetate",E
101,"Based on the case, answer the following multiple-choice question. Requirement: Output only the option, no explanatory text:
A 52-year-old male fell off a bike landing on his left hand, causing left wrist pain for 6 hours. TFCC injury is considered. Which of the following is NOT a clinical manifestation of TFCC injury:
A: Ulnar-sided wrist pain, B: Limited wrist movement, C: Difficulty rotating the wrist, D: Reduced wrist strength, E: Protruding mass on the wrist",E
