Number,Question,Image_path,Answer
1,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：内侧半月板损伤
B：外侧半月板损伤
C：外侧副韧带损伤 
D：前交叉韧带断裂
E：内侧副韧带断裂",knee/1.PNG,B
2,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：内侧副韧带断裂
B：内侧半月板损伤
C：外侧半月板损伤 
D：外侧副韧带损伤
E：前交叉韧带断裂",knee/2.PNG,B
3,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：前交叉韧带断裂
B：内侧副韧带断裂
C：内侧半月板损伤 
D：外侧半月板损伤
E：外侧副韧带损伤",knee/3.PNG,D
4,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：外侧副韧带损伤
B：前交叉韧带断裂
C：内侧副韧带断裂 
D：内侧半月板损伤
E：外侧半月板损伤",knee/4.PNG,D
5,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：外侧半月板损伤
B：外侧副韧带损伤
C：前交叉韧带断裂 
D：内侧副韧带断裂
E：内侧半月板损伤",knee/5.PNG,A
6,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：内侧半月板损伤
B：外侧半月板损伤
C：外侧副韧带损伤 
D：前交叉韧带断裂
E：内侧副韧带断裂",knee/6.PNG,B
7,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：内侧副韧带断裂
B：内侧半月板损伤
C：外侧半月板损伤 
D：外侧副韧带损伤
E：前交叉韧带断裂",knee/7.PNG,C
8,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：前交叉韧带断裂
B：内侧副韧带断裂
C：内侧半月板损伤 
D：外侧半月板损伤
E：外侧副韧带损伤",knee/8.PNG,D
9,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：外侧副韧带损伤
B：前交叉韧带断裂
C：内侧副韧带断裂 
D：内侧半月板损伤
E：外侧半月板损伤",knee/9.PNG,D
10,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：外侧半月板损伤
B：外侧副韧带损伤
C：前交叉韧带断裂 
D：内侧副韧带断裂
E：内侧半月板损伤",knee/10.PNG,E
11,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：内侧半月板损伤
B：外侧半月板损伤
C：外侧副韧带损伤 
D：前交叉韧带断裂
E：内侧副韧带断裂",knee/11.PNG,A
12,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：内侧副韧带断裂
B：内侧半月板损伤
C：外侧半月板损伤 
D：外侧副韧带损伤
E：前交叉韧带断裂",knee/12.PNG,C
13,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：前交叉韧带断裂
B：内侧副韧带断裂
C：内侧半月板损伤 
D：外侧半月板损伤
E：外侧副韧带损伤",knee/13.PNG,D
14,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：外侧副韧带损伤
B：前交叉韧带断裂
C：内侧副韧带断裂 
D：内侧半月板损伤
E：外侧半月板损伤",knee/14.PNG,E
15,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：外侧半月板损伤
B：外侧副韧带损伤
C：前交叉韧带断裂 
D：内侧副韧带断裂
E：内侧半月板损伤",knee/15.PNG,A
16,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：外侧半月板损伤
B：前交叉韧带断裂
C：后交叉韧带断裂 
D：内侧副韧带损伤
E：外侧副韧带损伤",knee/16.PNG,B
17,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：内侧半月板损伤
B：外侧半月板损伤
C：前交叉韧带重建术后再损伤 
D：后交叉韧带重建术后再损伤
E：内侧副韧带损伤",knee/17.PNG,C
18,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：内侧副韧带损伤
B：外侧副韧带损伤
C：髌骨脱位
D：前交叉韧带断裂
E：后交叉韧带断裂",knee/18.PNG,D
19,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：后交叉韧带断裂
B：内侧副韧带损伤
C：内侧半月板损伤 
D：外侧半月板损伤
E：前交叉韧带断裂",knee/19.PNG,E
20,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：前交叉韧带断裂
B：外侧副韧带损伤
C：内侧副韧带损伤 
D：内侧半月板损伤
E：外侧半月板损伤",knee/20.PNG,A
21,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：外侧半月板损伤
B：前交叉韧带断裂
C：后交叉韧带断裂 
D：内侧副韧带损伤
E：内侧半月板损伤",knee/21.PNG,B
22,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：内侧半月板损伤
B：外侧半月板损伤
C：前交叉韧带重建术后再损伤 
D：后交叉韧带重建术后再损伤
E：内侧副韧带损伤",knee/22.PNG,C
23,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：内侧副韧带损伤
B：内侧半月板损伤
C：外侧半月板损伤 
D：前交叉韧带断裂
E：后交叉韧带断裂",knee/23.PNG,E
24,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：后交叉韧带断裂
B：内侧副韧带损伤
C：内侧半月板损伤 
D：外侧半月板损伤
E：前交叉韧带断裂",knee/24.PNG,A
25,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：前交叉韧带断裂
B：后交叉韧带断裂
C：内侧副韧带损伤 
D：内侧半月板损伤
E：外侧半月板损伤",knee/25.PNG,A
26,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：外侧半月板损伤
B：前交叉韧带断裂
C：后交叉韧带断裂 
D：内侧副韧带损伤
E：内侧半月板损伤",knee/26.PNG,C
27,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：内侧半月板损伤
B：外侧半月板损伤
C：前交叉韧带断裂 
D：后交叉韧带断裂
E：内侧副韧带损伤",knee/27.PNG,C
28,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：内侧副韧带损伤
B：外侧副韧带损伤
C：外侧半月板损伤 
D：前交叉韧带断裂
E：后交叉韧带断裂",knee/28.PNG,E
29,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：外侧副韧带损伤
B：内侧副韧带损伤
C：内侧半月板损伤 
D：外侧半月板损伤
E：前交叉韧带断裂",knee/29.PNG,E
30,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：前交叉韧带断裂
B：外侧副韧带损伤
C：内侧副韧带损伤 
D：内侧半月板损伤
E：外侧半月板损伤",knee/30.PNG,A
31,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：外侧半月板损伤
B：前交叉韧带断裂
C：髌骨脱位 
D：内侧副韧带损伤
E：内侧半月板损伤",knee/31.JPG,C
32,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：内侧半月板损伤
B：外侧半月板损伤
C：前交叉韧带断裂 
D：髌骨脱位
E：后交叉韧带损伤",knee/32.JPG,D
33,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：内侧副韧带损伤
B：内侧半月板损伤
C：外侧半月板损伤 
D：前交叉韧带断裂
E：髌骨脱位",knee/33.JPG,E
34,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：髌骨脱位
B：内侧副韧带损伤
C：内侧半月板损伤 
D：外侧半月板损伤
E：前交叉韧带断裂",knee/34.JPG,A
35,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：前交叉韧带断裂
B：髌骨脱位
C：内侧副韧带损伤 
D：内侧半月板损伤
E：外侧半月板损伤",knee/35.JPG,B
36,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：外侧半月板损伤
B：前交叉韧带断裂
C：膝关节术后改变
D：内侧副韧带损伤
E：内侧半月板损伤",knee/36.PNG,C
37,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：内侧半月板损伤
B：髌骨脱位
C：前交叉韧带断裂 
D：髌骨骨折
E：内侧副韧带损伤",knee/37.JPG,D
38,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：股骨骨折
B：肱骨骨折
C：胫骨骨折
D：锁骨骨折
E：髌骨骨折",knee/38.JPG,C
39,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：髌骨脱位
B：内侧副韧带损伤
C：内侧半月板损伤 
D：外侧半月板损伤
E：前交叉韧带断裂",knee/39.PNG,E
40,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：前交叉韧带断裂
B：髌骨脱位
C：内侧副韧带损伤 
D：内侧半月板损伤
E：外侧半月板损伤",knee/40.PNG,A
41,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：膝骨关节炎
B：膝关节脱位
C：股骨骨折 
D：胫骨骨折
E：腓骨骨折",knee/41.PNG,A
42,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：膝关节脱位
B：股骨骨折
C：胫骨骨折 
D：腓骨骨折
E：膝骨关节炎",knee/42.PNG,E
43,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：股骨骨折
B：胫骨骨折
C：腓骨骨折 
D：膝骨关节炎
E：膝关节脱位",knee/43.PNG,D
44,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：胫骨骨折
B：腓骨骨折
C：膝骨关节炎 
D：膝关节脱位
E：股骨骨折",knee/44.PNG,C
45,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：腓骨骨折
B：膝骨关节炎
C：膝关节脱位 
D：股骨骨折
E：胫骨骨折",knee/45.PNG,B
46,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：内侧半月板损伤
B：外侧半月板损伤
C：外侧副韧带损伤 
D：前交叉韧带断裂
E：内侧副韧带断裂",knee/46.PNG,D
47,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：内侧副韧带断裂
B：内侧半月板损伤
C：外侧半月板损伤 
D：外侧副韧带损伤
E：前交叉韧带断裂",knee/47.PNG,C
48,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：前交叉韧带断裂
B：内侧副韧带断裂
C：内侧半月板损伤 
D：外侧半月板损伤
E：后交叉韧带损伤",knee/48.PNG,E
49,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：外侧副韧带损伤
B：前交叉韧带断裂
C：内侧副韧带断裂 
D：内侧半月板损伤
E：外侧半月板损伤",knee/49.PNG,B
50,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：外侧半月板损伤
B：外侧副韧带损伤
C：前交叉韧带断裂 
D：内侧副韧带断裂
E：内侧半月板损伤",knee/50.PNG,A
51,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：内侧半月板损伤
B：外侧半月板损伤
C：外侧副韧带损伤 
D：前交叉韧带断裂
E：内侧副韧带断裂",knee/51.BMP,B
52,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：内侧副韧带断裂
B：内侧半月板损伤
C：外侧半月板损伤 
D：外侧副韧带损伤
E：前交叉韧带断裂",knee/52.PNG,E
53,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：前交叉韧带断裂
B：内侧副韧带断裂
C：内侧半月板损伤 
D：外侧半月板损伤
E：后交叉韧带损伤",knee/53.PNG,E
54,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：外侧副韧带损伤
B：前交叉韧带断裂
C：内侧副韧带断裂 
D：内侧半月板损伤
E：外侧半月板损伤",knee/54.PNG,B
55,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：外侧半月板损伤
B：外侧副韧带损伤
C：前交叉韧带断裂 
D：内侧副韧带断裂
E：内侧半月板损伤",knee/55.PNG,E
56,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：外侧半月板损伤
B：外侧副韧带损伤
C：前交叉韧带断裂 
D：内侧副韧带断裂
E：内侧半月板损伤",knee/56.PNG,C
57,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：髋关节盂唇损伤
B：髋关节脱位
C：股骨头坏死 
D：髋关节发育不良
E：股骨颈骨折",hip/1.JPG,A
58,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：股骨颈骨折
B：髋关节盂唇损伤
C：髋关节脱位 
D：股骨头坏死
E：髋关节发育不良",hip/2.JPG,B
59,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：髋关节发育不良
B：股骨颈骨折
C：髋关节盂唇损伤 
D：髋关节脱位
E：股骨头坏死",hip/3.JPG,C
60,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：股骨头坏死
B：髋关节发育不良
C：股骨颈骨折 
D：髋关节盂唇损伤
E：髋关节脱位",hip/4.JPG,D
61,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：髋关节脱位
B：股骨头坏死
C：髋关节发育不良 
D：股骨颈骨折
E：髋关节盂唇损伤",hip/5.JPG,E
62,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：髋关节盂唇损伤
B：髋关节脱位
C：股骨头坏死 
D：髋关节发育不良
E：股骨颈骨折",hip/6.JPG,A
63,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：股骨颈骨折
B：髋关节盂唇损伤
C：髋关节脱位 
D：股骨头坏死
E：髋关节发育不良",hip/7.JPG,B
64,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：髋关节发育不良
B：股骨颈骨折
C：髋关节盂唇损伤 
D：髋关节脱位
E：股骨头坏死",hip/8.JPG,C
65,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：股骨头坏死
B：髋关节发育不良
C：股骨颈骨折 
D：髋关节盂唇损伤
E：髋关节脱位",hip/9.JPG,D
66,"请根据患者的影像学检查图片，回答问题，单选题，从中选择一个最佳答案，要求只输出选项，不输出解释：
根据影像学检查结果，请问该患者最可能的影像学诊断是：
A：髋关节脱位
B：股骨头坏死
C：髋关节发育不良 
D：股骨颈骨折
E：髋关节盂唇损伤",hip/10.JPG,E
